id,Unnamed: 0,_session,chapters,_soup,authors,categories,nchapters,characters,complete,date_updated,fandoms,hits,comments,kudos,language,rating,relationships,restricted,series,summary,tags,title,warnings,words,expected_chapters,bookmarks
50511505,0.0,,[],,[<User [KANDIKABOOM]>],['F/M'],5,"['Alice ""Daisy"" Tonner', 'Jonathan ""Jon"" Sims | The Archivist']",False,2023-10-04,['The Magnus Archives'],57,3.0,1.0,English,General Audiences,"['Jonathan ""Jon"" Sims | The Archivist & Alice ""Daisy"" Tonner', 'Jonathan ""Jon"" Sims | The Archivist/Alice ""Daisy"" Tonner']",False,[],"
FLUFFTOBER 2023 starring: Jonathan Sims & Daisy Tonner...Will be adding on tags as it goes :) will try my best to update everyday
","['Flufftober 2023', 'Flufftober', 'Fluff', 'Songfic', 'Song: Lovers Rock (TV Girl)', 'Song: I dont care if youre contagious (Peirce the veil)', 'mostly just parts of the songs', 'i love my rarepair', 'im normal about them']",Wolf's Eyes (The Only One I See) - FLUFFTOBER 2023,['No Archive Warnings Apply'],3044,,
49655923,1.0,,[],,[<User [Ventus1996]>],['Gen'],1,"['Asher Kane', 'OFC', 'Connor Grant', 'OMC', 'Original Character']",True,2023-08-26,['The Magnus Archives'],15,1.0,1.0,English,Teen And Up Audiences,[],False,[],"
A collection of audio tapes was recently left in file room 241 of Usher Foundation Headquarters. The transcript herein details the events surrounding the disappearances of one Miss Asher Kane and Chief Chronicler Douglass Simmons, the recent attack by the agents of Butchery on our building, and the involvement of one Mr. Connor Grant, a Hunter. Please review at your earliest convenience.
","['Teamwork', 'Supernatural Elements', 'Horror', 'Serial Killers', 'Original Statement (The Magnus Archives)', 'Canon-Typical The Beholding Content (The Magnus Archives)', 'Canon-Typical Violence', 'Canon-Typical The Hunt Content (The Magnus Archives)', 'Canon-Typical The Slaughter Content (The Magnus Archives)']",Watch and Prey,['Graphic Depictions Of Violence'],6457,1.0,
49631971,2.0,,[],,[<User [Ghostie_eyes]>],"['F/F', 'F/M', 'M/M', 'Multi']",1,"['Jonathan ""Jon"" Sims | The Archivist']",True,2023-08-26,"['The Magnus Archives', 'The Magnus Archives (Podcast)']",46,,,English,Teen And Up Audiences,[],False,[],"
Hanhaki polychives fic! Not much to say, mostly fluff for me.
","['Trans Martin Blackwood', 'Bisexual Tim Stoker (The Magnus Archives)', 'Polyamorous Martin Blackwood/Sasha James/Jonathan ""Jon"" Sims | The Archivist/Tim Stoker']",All Daisy'd out,['Graphic Depictions Of Violence'],448,1.0,
47943064,3.0,,[],,[<User [glass_fr0g]>],['No category'],1,"['The End (The Magnus Archives)', 'The Stranger (The Magnus Archives)', 'The Web (The Magnus Archives)', 'The Beholding (The Magnus Archives)', 'The Corruption (The Magnus Archives)', 'The Desolation (The Magnus Archives)', 'The Spiral (The Magnus Archives)', 'The Buried (The Magnus Archives)', 'The Lonely (The Magnus Archives)', 'The Vast (The Magnus Archives)', 'The Slaughter (The Magnus Archives)', 'The Hunt (The Magnus Archives)', 'The Flesh (The Magnus Archives)', 'The Dark (The Magnus Archives)']",True,2023-06-17,['The Magnus Archives'],173,1.0,25.0,English,Not Rated,[],False,[],"
The Lonely makes a group chat with all the Fears to discuss who gets custody of Martin Blackwood, and then they just fight and be chaoticSet after unknowing
","['everyone wants Martin', 'no one likes the stranger', 'everyone likes the end', 'the end is chill', 'the slaughter is insane', 'the desolation is angry', 'Chaotic group chat', 'entity group chat', 'fear group chat']",Who Gets Martin Custody?,['Creator Chose Not To Use Archive Warnings'],1124,1.0,
47028004,4.0,,[],,[],['Gen'],1,"['Pierre Boé', 'Original Male Character(s)', 'Aleksej Kastenović (Mentioned)', 'Boris V. Ivanov | Борис Виктор Иванов']",True,2023-05-08,"['The Magnus Archives', 'TMA-Audio. Opperior. Vigilo', 'TMAAOV - discord server']",37,,5.0,English,Teen And Up Audiences,"['incredible violence - Relationship', 'No Romantic Relationship(s)']",False,[<Series [TMAAOV works]>],"
Boris Ivanov, the institute head, has some concerning thoughts while filling out paperwork. 
We are in no way associated with rusty quill, or the original content. We're just some guys on a Discord server running a ""parallel"" universe for shits n giggles.
 
Join us on the discord server!

","['off-screen violence', 'Implied/Referenced Violence', 'boris is an awful boss to his assistants', ""pierre's okay! don't worry"", 'Dialouge Inspiration taken from the webseries Lucids made by actor Nick Podany', 'C0r_v1n works', 'TMAAOV is a separate entity from TMA', 'up to your interpretation if you see this as ""canonical"" for the TMAAOV universe.', 'alternative universe']",Guilty consciousness,"['Creator Chose Not To Use Archive Warnings', 'Graphic Depictions Of Violence', 'No Archive Warnings Apply']",1018,1.0,
46323727,5.0,,[],,[<User [RainbowsAndRoseGold]>],['M/M'],23,"['Tim Stoker (The Magnus Archives)', 'Jonathan ""Jon"" Sims | The Archivist', 'Martin Blackwood', 'Basira Hussain', 'Alice ""Daisy"" Tonner', 'Elias Bouchard', 'Elias Bouchard | Jonah Magnus', 'Melanie King', 'Not-Them (The Magnus Archives)', 'Jude Perry', 'Gertrude Robinson (mentioned) - Character', 'Gerard Keay', 'Peter Lukas', 'Georgie Barker', 'Oliver Banks', 'Stranger Entity Breekon (The Magnus Archives)', 'Unnamed Female Character']",False,2023-06-06,['The Magnus Archives'],2120,24.0,84.0,English,Teen And Up Audiences,"['Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist', 'Jonathan ""Jon"" Sims | The Archivist/Tim Stoker']",False,[],"
Tim doesn't get the dignity of death, and things just go downhill from there.
","['Alternate Universe - Canon Divergence', 'Tim Stoker Lives (The Magnus Archives)', 'the author of this fic is American and so sorry about it', 'Comes Back Wrong', 'Timothy Stoker becomes an avatar against his will', 'canon-typical bickering', 'canon-typical Fears content (The Magnus Archives)', ""Tim isn't going to have a good time but at least he's alive"", 'Desolation Avatar Tim Stoker (The Magnus Archives)', 'Implied/Referenced Sexual Assault', 'removal of informed consent', 'Arson', 'Dissociation']",Dim Glow,"['Graphic Depictions Of Violence', 'Major Character Death']",41165,,21.0
46123966,6.0,,[],,[<User [Laurenisnot]>],['M/M'],1,[],True,2023-03-30,['The Magnus Archives'],253,1.0,43.0,English,General Audiences,"['Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist']",False,[],"
Hello again! This was also written for my fan fiction class the prompt was mundane au and I wanted to see Jon get jealous that Martin is going on a date with someone else.
","['brief reference to murder and paranoia', ""y'know bc this is set after Gertrude's body was found"", 'Jon is jealous', 'mention of fatphobia (not from Jon)', 'mundane AU', 'Jon has a cat']",What if They Were Me?,['No Archive Warnings Apply'],1584,1.0,3.0
43996086,7.0,,[],,[<User [j_quadrifrons]>],['M/M'],1,"['Elias Bouchard', 'Jonathan Sims', 'with a guest appearance by', 'Jonah Magnus']",True,2023-01-01,['The Magnus Archives'],451,5.0,74.0,English,General Audiences,['Elias Bouchard/Jonathan Sims'],False,[],"
Jon works late, again. Elias offers...some assistance.
","['Missing Scene', 'Season/Series 02', 'Fanon-Typical Poor Professional Boundaries', 'Wound Tending', 'Canon-Typical Beholding In-Jokes', 'this is totally self-indulgent nonsense', 'I hope you like it']",the same old tired pain,['No Archive Warnings Apply'],1074,1.0,4.0
40905969,8.0,,[],,[<User [wife_of_Annabel_cane]>],['M/M'],5,"['Jonathan ""Jon"" Sims | The Archivist', 'Martin Blackwood', 'Shane Madej', 'Ryan Bergara']",False,2023-04-27,"['The Magnus Archives (Podcast)', 'Buzzfeed Unsolved (Web Series)', 'The Magnus Archives', 'Buzzfeed Unsolved']",294,3.0,16.0,English,General Audiences,"['Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist', 'Martin K blackwood/ Jonathan ""Jon"" Sims']",False,[],"
After the events of mag.200 Jonnithan sims and Martin k blackwood wake up in the world as we know it and run into Shane madej and Ryan bergara who are on one of their supernatural investigations. Follow this unlikely group as they try to navigate the world and all its new found entity's and fears as they make some damb good YouTube content along the way!Also follow along as John and Martin try to not have major PTSD over all the shit that's happened, regain connections with the fears and try to work out how to date when you're not fearing for you're life!So essentially it's about to get real spooky!
","[""They're a little traumatized but it's fine"", 'Kind of Alternate Universe', 'Basically just Jon and Martin being sad and traumatized', 'Martin Blackwood and Jonathan ""Jon"" Sims | The Archivist Travel to a Different Reality', 'Shane is kind of a little shit', 'Fluff and Angst', 'kind of', ""You're lucky of this gets an update every 6 months"", 'Post mag.200', 'Trans Martin Blackwood']",It's about to get real spooky,['No Archive Warnings Apply'],2934,,1.0
40836804,9.0,,[],,[<User [kaardbord]>],['No category'],1,"['Scott Major | Smajor1995', 'Lizzie | LDShadowLady', 'Joel | SmallishBeans', 'Jimmy | Solidarity']",True,2022-08-06,"['3rd Life | Last Life SMP Series', 'Hermitcraft', 'The Magnus Archives']",425,,53.0,English,General Audiences,['Joel | Smallishbeans/Lizzie | LDShadowLady'],False,[<Series [The Avis Archives]>],"
*Click*[GRIAN]Statement of Lizzie D… I can’t quite make out the last name, apologies. Statement regarding an experience with a forest spirit late at night. Original statement given July 17, 2014. Audio recording by Grian Featherwood, Head Archivist of the Avis Institute, London.
","['Fairies', 'Caves', 'Very very big holes', 'Married Couple', 'Got to count for something right?', 'transcript', 'Confusion', 'forest spirit', 'forest', 'idk what else im being honest here', 'Statement', 'Grian Head Archvist']",MAG 003 - A Faerietale,['Creator Chose Not To Use Archive Warnings'],2485,1.0,1.0
40734804,10.0,,[],,[<User [CherriBlossomTV]>],['Gen'],13,"['Dani (HearthSMP)', 'Em (HearthSMP)', 'Charlie (HearthSMP)', 'Cyd (HearthSMP)', 'Bee Demi (HearthSMP)']",False,2022-10-31,"['HearthSMP', 'The Magnus Archives']",129,1.0,15.0,English,Teen And Up Audiences,[],False,[],"
The Elysium Institute is a crossover fanfiction AU of the minecraft lore SMP HearthSMP with the horror / tragedy podcast The Magnus Archives. Face your fears.
",[],The Elysium Institute,"['Major Character Death', 'No Archive Warnings Apply']",10194,,1.0
38978748,11.0,,[],,[<User [kaardbord]>],['Gen'],1,[],True,2022-05-14,['The Magnus Archives'],40,,1.0,English,Teen And Up Audiences,[],False,[],"
Original statement by Ranboo about a supposed possession by ""The Founder.""
",[],(Screen-reader Friendly) Untitled Document #1,['Creator Chose Not To Use Archive Warnings'],2752,1.0,
37334041,12.0,,[],,[<User [MilesHasGoodMannersAndThatsWhatMatters]>],['No category'],1,"['Jonathan ""Jon"" Sims | The Archivist', 'Tim Stoker (The Magnus Archives)', 'Sasha James', 'Elias Bouchard', 'Martin Blackwood']",True,2022-02-23,"['The Magnus Archives', ""Five Nights at Freddy's""]",258,2.0,51.0,English,Teen And Up Audiences,[],False,[],"
Tim persuaded Jon to let everyone take turns playing Five Nights At Freddy’s. Things go as well as expected.
","['They play fnaf', 'good god martin punches HARD', 'Everyone lives', 'martin stops the eyeposalypse by decking elias', 'jon is not good with horror', 'sasha james is the best at playing video games bc shes a girlboss', 'My first fic', 'This is literally for fun']",The Archival Staff play Fnaf,['Creator Chose Not To Use Archive Warnings'],1000,1.0,5.0
36154549,13.0,,[],,[<User [Kelzebub]>],['No category'],1,"['Jonathan ""Jon"" Sims | The Archivist', 'Martin Blackwood']",True,2022-01-02,['The Magnus Archives'],127,4.0,32.0,English,Not Rated,"['Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist']",False,[],"
I just had to get this off my chest after ep 200 and banged it out in half an hour. I'm sure there are plenty of fix-its out there, I just want Jon and Martin to have more time together. Written for myself, no idea if it's any good at all, but I hope someone enjoys it.
","['Episode 200', 'Major character death - Freeform', 'Hopeful Ending', 'Grief/Mourning', 'Fix-It', 'Temporary Character Death']",Ashes,['Creator Chose Not To Use Archive Warnings'],1011,1.0,1.0
36102094,14.0,,[],,[<User [HissHex]>],['M/M'],1,"['Elias Bouchard | Jonah Magnus', 'Peter Lukas', ""Assorted Lukas's""]",True,2021-12-31,['The Magnus Archives'],134,4.0,29.0,English,Teen And Up Audiences,['Elias Bouchard | Jonah Magnus/Peter Lukas'],False,[],"
Peter and Elias head off to Moorland for Xmas. Neither of them are looking forward to it, nor are their hosts. Really, Elias thinks they should have thanked him for the excuse to get rid of him honestly.
","['The Lukas Family', 'Elias dragging everyone for utter dirt', 'mentions of cheating']",In Which Elias gives Peter the best Christmas present he could,['No Archive Warnings Apply'],2698,1.0,6.0
34694272,15.0,,[],,[<User [SupposedToBeWriting]>],['M/M'],2,"['Jon Sims', 'Martin Blackwood']",True,2021-10-24,['The Magnus Archives'],1020,19.0,191.0,English,Teen And Up Audiences,['Jon Sims/Martin Blackwood'],False,[],"
Someone is stalking Jonathan Sims. Every so often, bootprints lead up to his flat from Netherspring Forest. Unwilling to involve his friends in what may amount to a very dangerous mission, Jon decides he must explore the fog-covered forest himself ... only to meet a washed-out man that seemed strangely familiar. It must be his imagination.
","['Fantasy AU', 'Fog Spirit Martin', 'First Meeting', 'Pre-Romance', 'Hurt/Comfort', 'Rescue Mission', 'Forest Exploration', 'For tma fantasy week', 'CW - Issues with Memory and Forgetting']",Forget-Me-Not,['No Archive Warnings Apply'],9609,2.0,39.0
34437529,16.0,,[],,[<User [Itsaary]>],['Other'],3,"['Martin Blackwood', 'Jonathan ""Jon"" Sims | The Archivist', 'Elias Bouchard | Jonah Magnus', 'The Radiance (Hollow Knight)', 'The Pale King (Hollow Knight)']",False,2021-10-16,"['Hollow Knight', 'The Magnus Archives']",113,,4.0,English,Not Rated,"['Martin Blackwood/Jonah Magnus/Jonathan ""Jon"" Sims | The Archivist']",False,[],"
Hollow Knights story retold with the cast of The Magnus Archives, although it is focused much less on exploring and more on The Archives. These drabbles will very much be out of order and rather short, I mostly wish to get my thoughts out there.This is my first work here, so I'd appreciate any and all tips!
",[],Hollow Archives,['Creator Chose Not To Use Archive Warnings'],1517,,
